GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",628,179,-,**,562,228,540,248,852,370,-,**,-,**
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",720,187,568,36,534,120,906,87,809,164,-,**,-,**
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",652,180,577,151,910,557,647,205,842,278,309,261,-,**
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",2941,92,2735,87,3143,124,3044,355,2906,536,-,**,-,**
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",977,46,757,308,893,50,1124,63,1454,232,-,**,-,**
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York","3,500+",***,3292,265,"3,500+",***,"3,500+",***,"3,500+",***,-,**,-,**
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",1238,358,-,**,1285,584,1125,291,-,**,-,**,-,**
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",400,71,334,183,312,62,427,65,806,210,1460,322,-,**
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",914,329,-,**,538,323,1278,248,1053,496,-,**,-,**
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2853,81,2656,89,3173,130,"3,500+",***,2868,551,-,**,-,**
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",-,**,-,**,1600,1599,-,**,-,**,-,**,-,**
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1014,202,1566,969,1150,327,866,228,-,**,-,**,-,**
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",2379,754,2375,804,3021,733,-,**,1063,349,-,**,-,**
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3120,96,2714,122,3259,94,3216,166,3210,805,-,**,-,**
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",1056,84,1755,1336,1083,123,980,92,1094,129,-,**,-,**
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",1318,195,1667,404,1300,937,1181,223,949,362,-,**,-,**
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",398,48,340,188,308,118,379,49,463,64,-,**,-,**
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York","3,500+",***,3305,280,"3,500+",***,3326,498,-,**,-,**,-,**
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",956,88,328,243,1107,198,907,93,1350,93,-,**,-,**
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",1942,189,1855,221,2534,762,1780,432,-,**,-,**,-,**
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",526,136,-,**,-,**,608,121,490,139,-,**,-,**
